Start: Train Size=1071 | Test R2=-46.2685 | Test MAE=25.7569
Iteração 2302: Adicionadas 5 amostras | Incerteza Média Batch: 0.6092 | Test R2: 0.6795 | Test MAE: 1.6197
Iteração 2303: Adicionadas 5 amostras | Incerteza Média Batch: 0.6347 | Test R2: 0.6768 | Test MAE: 1.6337
Iteração 2304: Adicionadas 5 amostras | Incerteza Média Batch: 0.6394 | Test R2: 0.6719 | Test MAE: 1.6577
Iteração 2305: Adicionadas 5 amostras | Incerteza Média Batch: 0.6315 | Test R2: 0.6678 | Test MAE: 1.6754
Iteração 2306: Adicionadas 5 amostras | Incerteza Média Batch: 0.6282 | Test R2: 0.6649 | Test MAE: 1.6857
Iteração 2307: Adicionadas 5 amostras | Incerteza Média Batch: 0.6249 | Test R2: 0.6630 | Test MAE: 1.6927
Iteração 2308: Adicionadas 5 amostras | Incerteza Média Batch: 0.6259 | Test R2: 0.6664 | Test MAE: 1.6792
Iteração 2309: Adicionadas 5 amostras | Incerteza Média Batch: 0.6339 | Test R2: 0.6690 | Test MAE: 1.6699
Iteração 2310: Adicionadas 5 amostras | Incerteza Média Batch: 0.6466 | Test R2: 0.6695 | Test MAE: 1.6697
Iteração 2311: Adicionadas 5 amostras | Incerteza Média Batch: 0.6620 | Test R2: 0.6701 | Test MAE: 1.6679
Iteração 2312: Adicionadas 5 amostras | Incerteza Média Batch: 0.6419 | Test R2: 0.6692 | Test MAE: 1.6718
Iteração 2313: Adicionadas 5 amostras | Incerteza Média Batch: 0.6334 | Test R2: 0.6699 | Test MAE: 1.6688
Iteração 2314: Adicionadas 5 amostras | Incerteza Média Batch: 0.6322 | Test R2: 0.6724 | Test MAE: 1.6579
Iteração 2315: Adicionadas 5 amostras | Incerteza Média Batch: 0.6345 | Test R2: 0.6730 | Test MAE: 1.6544
Iteração 2316: Adicionadas 5 amostras | Incerteza Média Batch: 0.6440 | Test R2: 0.6741 | Test MAE: 1.6482
Iteração 2317: Adicionadas 5 amostras | Incerteza Média Batch: 0.6559 | Test R2: 0.6752 | Test MAE: 1.6429
Iteração 2318: Adicionadas 5 amostras | Incerteza Média Batch: 0.6528 | Test R2: 0.6768 | Test MAE: 1.6342
Iteração 2319: Adicionadas 5 amostras | Incerteza Média Batch: 0.6349 | Test R2: 0.6766 | Test MAE: 1.6320
Iteração 2320: Adicionadas 5 amostras | Incerteza Média Batch: 0.6514 | Test R2: 0.6760 | Test MAE: 1.6317
Iteração 2321: Adicionadas 5 amostras | Incerteza Média Batch: 0.6505 | Test R2: 0.6742 | Test MAE: 1.6368
Iteração 2322: Adicionadas 5 amostras | Incerteza Média Batch: 0.6543 | Test R2: 0.6725 | Test MAE: 1.6420
Iteração 2323: Adicionadas 5 amostras | Incerteza Média Batch: 0.6316 | Test R2: 0.6709 | Test MAE: 1.6463
Iteração 2324: Adicionadas 5 amostras | Incerteza Média Batch: 0.6307 | Test R2: 0.6688 | Test MAE: 1.6522
Iteração 2325: Adicionadas 5 amostras | Incerteza Média Batch: 0.6607 | Test R2: 0.6683 | Test MAE: 1.6555
Iteração 2326: Adicionadas 5 amostras | Incerteza Média Batch: 0.6688 | Test R2: 0.6665 | Test MAE: 1.6600
Iteração 2327: Adicionadas 5 amostras | Incerteza Média Batch: 0.7010 | Test R2: 0.6625 | Test MAE: 1.6726
Iteração 2328: Adicionadas 5 amostras | Incerteza Média Batch: 0.7338 | Test R2: 0.6516 | Test MAE: 1.7099
Iteração 2329: Adicionadas 5 amostras | Incerteza Média Batch: 0.7691 | Test R2: 0.6298 | Test MAE: 1.7804
Iteração 2330: Adicionadas 5 amostras | Incerteza Média Batch: 0.8280 | Test R2: 0.5924 | Test MAE: 1.8917
Iteração 2331: Adicionadas 5 amostras | Incerteza Média Batch: 0.9413 | Test R2: 0.5490 | Test MAE: 2.0061
Iteração 2332: Adicionadas 5 amostras | Incerteza Média Batch: 0.7963 | Test R2: 0.5119 | Test MAE: 2.0930
Iteração 2333: Adicionadas 5 amostras | Incerteza Média Batch: 0.7915 | Test R2: 0.4753 | Test MAE: 2.1724
Iteração 2334: Adicionadas 5 amostras | Incerteza Média Batch: 0.7351 | Test R2: 0.4394 | Test MAE: 2.2459
Iteração 2335: Adicionadas 5 amostras | Incerteza Média Batch: 0.7769 | Test R2: 0.4319 | Test MAE: 2.2549
Iteração 2336: Adicionadas 5 amostras | Incerteza Média Batch: 0.8485 | Test R2: 0.4528 | Test MAE: 2.2051
Iteração 2337: Adicionadas 5 amostras | Incerteza Média Batch: 0.9629 | Test R2: 0.4963 | Test MAE: 2.1067
Iteração 2338: Adicionadas 5 amostras | Incerteza Média Batch: 1.0901 | Test R2: 0.5536 | Test MAE: 1.9726
Iteração 2339: Adicionadas 5 amostras | Incerteza Média Batch: 1.2562 | Test R2: 0.6124 | Test MAE: 1.8213
Iteração 2340: Adicionadas 5 amostras | Incerteza Média Batch: 1.4182 | Test R2: 0.6561 | Test MAE: 1.6928
Iteração 2341: Adicionadas 5 amostras | Incerteza Média Batch: 1.4430 | Test R2: 0.6797 | Test MAE: 1.6138
Iteração 2342: Adicionadas 5 amostras | Incerteza Média Batch: 1.4206 | Test R2: 0.6787 | Test MAE: 1.6200
Iteração 2343: Adicionadas 5 amostras | Incerteza Média Batch: 1.2291 | Test R2: 0.6648 | Test MAE: 1.6754
Iteração 2344: Adicionadas 5 amostras | Incerteza Média Batch: 0.9963 | Test R2: 0.6483 | Test MAE: 1.7388
Iteração 2345: Adicionadas 5 amostras | Incerteza Média Batch: 0.9604 | Test R2: 0.6284 | Test MAE: 1.8099
Iteração 2346: Adicionadas 5 amostras | Incerteza Média Batch: 0.8591 | Test R2: 0.6080 | Test MAE: 1.8763
Iteração 2347: Adicionadas 5 amostras | Incerteza Média Batch: 0.7678 | Test R2: 0.5907 | Test MAE: 1.9296
Iteração 2348: Adicionadas 5 amostras | Incerteza Média Batch: 0.8123 | Test R2: 0.5832 | Test MAE: 1.9483
Iteração 2349: Adicionadas 5 amostras | Incerteza Média Batch: 0.8858 | Test R2: 0.5822 | Test MAE: 1.9484
Iteração 2350: Adicionadas 5 amostras | Incerteza Média Batch: 0.9455 | Test R2: 0.5931 | Test MAE: 1.9144
Iteração 2351: Adicionadas 5 amostras | Incerteza Média Batch: 1.0696 | Test R2: 0.6123 | Test MAE: 1.8539
Iteração 2352: Adicionadas 5 amostras | Incerteza Média Batch: 1.2229 | Test R2: 0.6336 | Test MAE: 1.7823
Iteração 2353: Adicionadas 5 amostras | Incerteza Média Batch: 1.3699 | Test R2: 0.6519 | Test MAE: 1.7159
Iteração 2354: Adicionadas 5 amostras | Incerteza Média Batch: 1.4288 | Test R2: 0.6621 | Test MAE: 1.6778
Iteração 2355: Adicionadas 5 amostras | Incerteza Média Batch: 1.2547 | Test R2: 0.6638 | Test MAE: 1.6725
Iteração 2356: Adicionadas 5 amostras | Incerteza Média Batch: 1.1749 | Test R2: 0.6590 | Test MAE: 1.6914
Iteração 2357: Adicionadas 5 amostras | Incerteza Média Batch: 0.9393 | Test R2: 0.6496 | Test MAE: 1.7250
Iteração 2358: Adicionadas 5 amostras | Incerteza Média Batch: 0.8171 | Test R2: 0.6395 | Test MAE: 1.7590
Iteração 2359: Adicionadas 5 amostras | Incerteza Média Batch: 0.8626 | Test R2: 0.6314 | Test MAE: 1.7849
Iteração 2360: Adicionadas 5 amostras | Incerteza Média Batch: 1.0208 | Test R2: 0.6318 | Test MAE: 1.7838
Iteração 2361: Adicionadas 5 amostras | Incerteza Média Batch: 1.2375 | Test R2: 0.6386 | Test MAE: 1.7631
Iteração 2362: Adicionadas 5 amostras | Incerteza Média Batch: 1.4121 | Test R2: 0.6481 | Test MAE: 1.7333
Iteração 2363: Adicionadas 5 amostras | Incerteza Média Batch: 1.4361 | Test R2: 0.6565 | Test MAE: 1.7054
Iteração 2364: Adicionadas 5 amostras | Incerteza Média Batch: 1.3395 | Test R2: 0.6596 | Test MAE: 1.6946
Iteração 2365: Adicionadas 5 amostras | Incerteza Média Batch: 1.3907 | Test R2: 0.6574 | Test MAE: 1.7046
Iteração 2366: Adicionadas 5 amostras | Incerteza Média Batch: 1.1576 | Test R2: 0.6516 | Test MAE: 1.7275
Iteração 2367: Adicionadas 5 amostras | Incerteza Média Batch: 0.9005 | Test R2: 0.6436 | Test MAE: 1.7595
Iteração 2368: Adicionadas 5 amostras | Incerteza Média Batch: 0.9003 | Test R2: 0.6267 | Test MAE: 1.8257
Iteração 2369: Adicionadas 5 amostras | Incerteza Média Batch: 0.9148 | Test R2: 0.6057 | Test MAE: 1.9034
Iteração 2370: Adicionadas 5 amostras | Incerteza Média Batch: 1.0805 | Test R2: 0.5804 | Test MAE: 1.9931
Iteração 2371: Adicionadas 5 amostras | Incerteza Média Batch: 1.0797 | Test R2: 0.5529 | Test MAE: 2.0879
Iteração 2372: Adicionadas 5 amostras | Incerteza Média Batch: 1.1438 | Test R2: 0.5298 | Test MAE: 2.1636
Iteração 2373: Adicionadas 5 amostras | Incerteza Média Batch: 1.1465 | Test R2: 0.5171 | Test MAE: 2.2055
Iteração 2374: Adicionadas 5 amostras | Incerteza Média Batch: 1.2012 | Test R2: 0.5155 | Test MAE: 2.2123
Iteração 2375: Adicionadas 5 amostras | Incerteza Média Batch: 1.2297 | Test R2: 0.5235 | Test MAE: 2.1861
Iteração 2376: Adicionadas 5 amostras | Incerteza Média Batch: 1.2519 | Test R2: 0.5344 | Test MAE: 2.1477
Iteração 2377: Adicionadas 5 amostras | Incerteza Média Batch: 1.1977 | Test R2: 0.5406 | Test MAE: 2.1241
Iteração 2378: Adicionadas 5 amostras | Incerteza Média Batch: 1.0867 | Test R2: 0.5424 | Test MAE: 2.1145
Iteração 2379: Adicionadas 5 amostras | Incerteza Média Batch: 0.9400 | Test R2: 0.5475 | Test MAE: 2.0943
Iteração 2380: Adicionadas 5 amostras | Incerteza Média Batch: 0.8543 | Test R2: 0.5547 | Test MAE: 2.0677
Iteração 2381: Adicionadas 5 amostras | Incerteza Média Batch: 0.8086 | Test R2: 0.5678 | Test MAE: 2.0213
Iteração 2382: Adicionadas 5 amostras | Incerteza Média Batch: 0.7704 | Test R2: 0.5858 | Test MAE: 1.9548
Iteração 2383: Adicionadas 5 amostras | Incerteza Média Batch: 0.8247 | Test R2: 0.6021 | Test MAE: 1.8891
Iteração 2384: Adicionadas 5 amostras | Incerteza Média Batch: 0.8768 | Test R2: 0.6079 | Test MAE: 1.8605
Iteração 2385: Adicionadas 5 amostras | Incerteza Média Batch: 0.8910 | Test R2: 0.6107 | Test MAE: 1.8416
Iteração 2386: Adicionadas 5 amostras | Incerteza Média Batch: 0.8297 | Test R2: 0.6132 | Test MAE: 1.8238
Iteração 2387: Adicionadas 5 amostras | Incerteza Média Batch: 0.8381 | Test R2: 0.6190 | Test MAE: 1.7930
Iteração 2388: Adicionadas 5 amostras | Incerteza Média Batch: 0.8523 | Test R2: 0.6236 | Test MAE: 1.7655
Iteração 2389: Adicionadas 5 amostras | Incerteza Média Batch: 0.8960 | Test R2: 0.6291 | Test MAE: 1.7387
Iteração 2390: Adicionadas 5 amostras | Incerteza Média Batch: 0.9427 | Test R2: 0.6341 | Test MAE: 1.7179
Iteração 2391: Adicionadas 5 amostras | Incerteza Média Batch: 0.9942 | Test R2: 0.6393 | Test MAE: 1.7038
Iteração 2392: Adicionadas 5 amostras | Incerteza Média Batch: 1.0090 | Test R2: 0.6422 | Test MAE: 1.7005
Iteração 2393: Adicionadas 5 amostras | Incerteza Média Batch: 1.0078 | Test R2: 0.6416 | Test MAE: 1.7075
Iteração 2394: Adicionadas 5 amostras | Incerteza Média Batch: 0.9251 | Test R2: 0.6376 | Test MAE: 1.7262
Iteração 2395: Adicionadas 5 amostras | Incerteza Média Batch: 0.8601 | Test R2: 0.6325 | Test MAE: 1.7437
Iteração 2396: Adicionadas 5 amostras | Incerteza Média Batch: 0.7903 | Test R2: 0.6285 | Test MAE: 1.7624
Iteração 2397: Adicionadas 5 amostras | Incerteza Média Batch: 0.7746 | Test R2: 0.6258 | Test MAE: 1.7797
Iteração 2398: Adicionadas 5 amostras | Incerteza Média Batch: 0.7893 | Test R2: 0.6204 | Test MAE: 1.8067
Iteração 2399: Adicionadas 5 amostras | Incerteza Média Batch: 0.7677 | Test R2: 0.6162 | Test MAE: 1.8286
Iteração 2400: Adicionadas 5 amostras | Incerteza Média Batch: 0.7657 | Test R2: 0.6106 | Test MAE: 1.8537
Iteração 2401: Adicionadas 5 amostras | Incerteza Média Batch: 0.7469 | Test R2: 0.6074 | Test MAE: 1.8683
Iteração 2402: Adicionadas 5 amostras | Incerteza Média Batch: 0.7499 | Test R2: 0.6033 | Test MAE: 1.8841
Iteração 2403: Adicionadas 5 amostras | Incerteza Média Batch: 0.7769 | Test R2: 0.5946 | Test MAE: 1.9159
Iteração 2404: Adicionadas 5 amostras | Incerteza Média Batch: 0.7908 | Test R2: 0.5836 | Test MAE: 1.9569
Iteração 2405: Adicionadas 5 amostras | Incerteza Média Batch: 0.7879 | Test R2: 0.5740 | Test MAE: 1.9932
Iteração 2406: Adicionadas 5 amostras | Incerteza Média Batch: 0.7973 | Test R2: 0.5673 | Test MAE: 2.0174
Iteração 2407: Adicionadas 5 amostras | Incerteza Média Batch: 0.7746 | Test R2: 0.5488 | Test MAE: 2.0806
Iteração 2408: Adicionadas 5 amostras | Incerteza Média Batch: 0.7588 | Test R2: 0.5244 | Test MAE: 2.1609
Iteração 2409: Adicionadas 5 amostras | Incerteza Média Batch: 0.7203 | Test R2: 0.5092 | Test MAE: 2.2072
Iteração 2410: Adicionadas 5 amostras | Incerteza Média Batch: 0.7014 | Test R2: 0.4905 | Test MAE: 2.2625
Iteração 2411: Adicionadas 5 amostras | Incerteza Média Batch: 0.6714 | Test R2: 0.4778 | Test MAE: 2.2964
Iteração 2412: Adicionadas 5 amostras | Incerteza Média Batch: 0.6745 | Test R2: 0.4602 | Test MAE: 2.3461
Iteração 2413: Adicionadas 5 amostras | Incerteza Média Batch: 0.6913 | Test R2: 0.4413 | Test MAE: 2.3982
Iteração 2414: Adicionadas 5 amostras | Incerteza Média Batch: 0.7035 | Test R2: 0.4298 | Test MAE: 2.4252
Iteração 2415: Adicionadas 5 amostras | Incerteza Média Batch: 0.6622 | Test R2: 0.4241 | Test MAE: 2.4346
Iteração 2416: Adicionadas 5 amostras | Incerteza Média Batch: 0.6286 | Test R2: 0.4210 | Test MAE: 2.4388
Iteração 2417: Adicionadas 5 amostras | Incerteza Média Batch: 0.6430 | Test R2: 0.4229 | Test MAE: 2.4287
Iteração 2418: Adicionadas 5 amostras | Incerteza Média Batch: 0.6462 | Test R2: 0.4300 | Test MAE: 2.4052
Iteração 2419: Adicionadas 5 amostras | Incerteza Média Batch: 0.6485 | Test R2: 0.4526 | Test MAE: 2.3382
Iteração 2420: Adicionadas 5 amostras | Incerteza Média Batch: 0.6522 | Test R2: 0.4832 | Test MAE: 2.2476
Iteração 2421: Adicionadas 5 amostras | Incerteza Média Batch: 0.6427 | Test R2: 0.5223 | Test MAE: 2.1272
Iteração 2422: Adicionadas 5 amostras | Incerteza Média Batch: 0.6481 | Test R2: 0.5543 | Test MAE: 2.0239
Iteração 2423: Adicionadas 5 amostras | Incerteza Média Batch: 0.6369 | Test R2: 0.5830 | Test MAE: 1.9252
Iteração 2424: Adicionadas 5 amostras | Incerteza Média Batch: 0.6268 | Test R2: 0.6053 | Test MAE: 1.8456
Iteração 2425: Adicionadas 5 amostras | Incerteza Média Batch: 0.6474 | Test R2: 0.6214 | Test MAE: 1.7829
Iteração 2426: Adicionadas 5 amostras | Incerteza Média Batch: 0.6399 | Test R2: 0.6302 | Test MAE: 1.7456
Iteração 2427: Adicionadas 5 amostras | Incerteza Média Batch: 0.6634 | Test R2: 0.6358 | Test MAE: 1.7188
Iteração 2428: Adicionadas 5 amostras | Incerteza Média Batch: 0.6470 | Test R2: 0.6392 | Test MAE: 1.7056
Iteração 2429: Adicionadas 5 amostras | Incerteza Média Batch: 0.6399 | Test R2: 0.6424 | Test MAE: 1.6999
Iteração 2430: Adicionadas 5 amostras | Incerteza Média Batch: 0.6455 | Test R2: 0.6446 | Test MAE: 1.6979
Iteração 2431: Adicionadas 5 amostras | Incerteza Média Batch: 0.6532 | Test R2: 0.6464 | Test MAE: 1.6977
Iteração 2432: Adicionadas 5 amostras | Incerteza Média Batch: 0.6624 | Test R2: 0.6482 | Test MAE: 1.6973
Iteração 2433: Adicionadas 5 amostras | Incerteza Média Batch: 0.6460 | Test R2: 0.6500 | Test MAE: 1.6953
Iteração 2434: Adicionadas 5 amostras | Incerteza Média Batch: 0.6240 | Test R2: 0.6510 | Test MAE: 1.6949
Iteração 2435: Adicionadas 5 amostras | Incerteza Média Batch: 0.6311 | Test R2: 0.6525 | Test MAE: 1.6916
Iteração 2436: Adicionadas 5 amostras | Incerteza Média Batch: 0.6601 | Test R2: 0.6541 | Test MAE: 1.6876
Iteração 2437: Adicionadas 5 amostras | Incerteza Média Batch: 0.6475 | Test R2: 0.6548 | Test MAE: 1.6861
Iteração 2438: Adicionadas 5 amostras | Incerteza Média Batch: 0.6600 | Test R2: 0.6571 | Test MAE: 1.6767
Iteração 2439: Adicionadas 5 amostras | Incerteza Média Batch: 0.6731 | Test R2: 0.6579 | Test MAE: 1.6734
Iteração 2440: Adicionadas 5 amostras | Incerteza Média Batch: 0.6633 | Test R2: 0.6585 | Test MAE: 1.6710
Iteração 2441: Adicionadas 5 amostras | Incerteza Média Batch: 0.6474 | Test R2: 0.6590 | Test MAE: 1.6685
Iteração 2442: Adicionadas 5 amostras | Incerteza Média Batch: 0.6436 | Test R2: 0.6590 | Test MAE: 1.6676
Iteração 2443: Adicionadas 5 amostras | Incerteza Média Batch: 0.6633 | Test R2: 0.6587 | Test MAE: 1.6676
Iteração 2444: Adicionadas 5 amostras | Incerteza Média Batch: 0.6639 | Test R2: 0.6600 | Test MAE: 1.6627
Iteração 2445: Adicionadas 5 amostras | Incerteza Média Batch: 0.6803 | Test R2: 0.6616 | Test MAE: 1.6555
Iteração 2446: Adicionadas 5 amostras | Incerteza Média Batch: 0.6482 | Test R2: 0.6632 | Test MAE: 1.6533
Iteração 2447: Adicionadas 5 amostras | Incerteza Média Batch: 0.6319 | Test R2: 0.6652 | Test MAE: 1.6494
Iteração 2448: Adicionadas 5 amostras | Incerteza Média Batch: 0.6411 | Test R2: 0.6660 | Test MAE: 1.6490
Iteração 2449: Adicionadas 5 amostras | Incerteza Média Batch: 0.6296 | Test R2: 0.6671 | Test MAE: 1.6473
Iteração 2450: Adicionadas 5 amostras | Incerteza Média Batch: 0.6224 | Test R2: 0.6690 | Test MAE: 1.6420
Iteração 2451: Adicionadas 5 amostras | Incerteza Média Batch: 0.6251 | Test R2: 0.6725 | Test MAE: 1.6292
Iteração 2452: Adicionadas 5 amostras | Incerteza Média Batch: 0.6313 | Test R2: 0.6754 | Test MAE: 1.6189
Iteração 2453: Adicionadas 5 amostras | Incerteza Média Batch: 0.6341 | Test R2: 0.6776 | Test MAE: 1.6119
Iteração 2454: Adicionadas 5 amostras | Incerteza Média Batch: 0.6438 | Test R2: 0.6777 | Test MAE: 1.6138
Iteração 2455: Adicionadas 5 amostras | Incerteza Média Batch: 0.6478 | Test R2: 0.6733 | Test MAE: 1.6357
Iteração 2456: Adicionadas 5 amostras | Incerteza Média Batch: 0.6666 | Test R2: 0.6636 | Test MAE: 1.6778
Iteração 2457: Adicionadas 5 amostras | Incerteza Média Batch: 0.6583 | Test R2: 0.6512 | Test MAE: 1.7281
Iteração 2458: Adicionadas 5 amostras | Incerteza Média Batch: 0.6605 | Test R2: 0.6310 | Test MAE: 1.8056
Iteração 2459: Adicionadas 5 amostras | Incerteza Média Batch: 0.6576 | Test R2: 0.6113 | Test MAE: 1.8783
Iteração 2460: Adicionadas 5 amostras | Incerteza Média Batch: 0.6469 | Test R2: 0.5936 | Test MAE: 1.9419
Iteração 2461: Adicionadas 5 amostras | Incerteza Média Batch: 0.6296 | Test R2: 0.5812 | Test MAE: 1.9853
Iteração 2462: Adicionadas 5 amostras | Incerteza Média Batch: 0.6214 | Test R2: 0.5712 | Test MAE: 2.0201
Iteração 2463: Adicionadas 5 amostras | Incerteza Média Batch: 0.6231 | Test R2: 0.5650 | Test MAE: 2.0407
Iteração 2464: Adicionadas 5 amostras | Incerteza Média Batch: 0.6245 | Test R2: 0.5525 | Test MAE: 2.0828
Iteração 2465: Adicionadas 5 amostras | Incerteza Média Batch: 0.6285 | Test R2: 0.5436 | Test MAE: 2.1121
Iteração 2466: Adicionadas 5 amostras | Incerteza Média Batch: 0.6256 | Test R2: 0.5372 | Test MAE: 2.1332
Iteração 2467: Adicionadas 5 amostras | Incerteza Média Batch: 0.6259 | Test R2: 0.5368 | Test MAE: 2.1344
Iteração 2468: Adicionadas 5 amostras | Incerteza Média Batch: 0.6189 | Test R2: 0.5385 | Test MAE: 2.1290
Iteração 2469: Adicionadas 5 amostras | Incerteza Média Batch: 0.6091 | Test R2: 0.5467 | Test MAE: 2.1012
Iteração 2470: Adicionadas 5 amostras | Incerteza Média Batch: 0.6092 | Test R2: 0.5539 | Test MAE: 2.0769
Iteração 2471: Adicionadas 5 amostras | Incerteza Média Batch: 0.6153 | Test R2: 0.5645 | Test MAE: 2.0403
Iteração 2472: Adicionadas 5 amostras | Incerteza Média Batch: 0.6130 | Test R2: 0.5785 | Test MAE: 1.9907
Iteração 2473: Adicionadas 5 amostras | Incerteza Média Batch: 0.6238 | Test R2: 0.5938 | Test MAE: 1.9336
Iteração 2474: Adicionadas 5 amostras | Incerteza Média Batch: 0.6309 | Test R2: 0.6078 | Test MAE: 1.8776
Iteração 2475: Adicionadas 5 amostras | Incerteza Média Batch: 0.6292 | Test R2: 0.6160 | Test MAE: 1.8399
Iteração 2476: Adicionadas 5 amostras | Incerteza Média Batch: 0.6103 | Test R2: 0.6217 | Test MAE: 1.8064
Iteração 2477: Adicionadas 5 amostras | Incerteza Média Batch: 0.5954 | Test R2: 0.6240 | Test MAE: 1.7812
Iteração 2478: Adicionadas 5 amostras | Incerteza Média Batch: 0.6020 | Test R2: 0.6230 | Test MAE: 1.7638
Iteração 2479: Adicionadas 5 amostras | Incerteza Média Batch: 0.6078 | Test R2: 0.6183 | Test MAE: 1.7613
Iteração 2480: Adicionadas 5 amostras | Incerteza Média Batch: 0.6096 | Test R2: 0.6104 | Test MAE: 1.7696
Iteração 2481: Adicionadas 5 amostras | Incerteza Média Batch: 0.6211 | Test R2: 0.6022 | Test MAE: 1.7836
Iteração 2482: Adicionadas 5 amostras | Incerteza Média Batch: 0.6235 | Test R2: 0.5891 | Test MAE: 1.8100
Iteração 2483: Adicionadas 5 amostras | Incerteza Média Batch: 0.6298 | Test R2: 0.5727 | Test MAE: 1.8467
Iteração 2484: Adicionadas 5 amostras | Incerteza Média Batch: 0.6319 | Test R2: 0.5601 | Test MAE: 1.8767
Iteração 2485: Adicionadas 5 amostras | Incerteza Média Batch: 0.6296 | Test R2: 0.5520 | Test MAE: 1.8966
Iteração 2486: Adicionadas 5 amostras | Incerteza Média Batch: 0.6374 | Test R2: 0.5465 | Test MAE: 1.9116
Iteração 2487: Adicionadas 5 amostras | Incerteza Média Batch: 0.6255 | Test R2: 0.5461 | Test MAE: 1.9146
Iteração 2488: Adicionadas 5 amostras | Incerteza Média Batch: 0.6174 | Test R2: 0.5496 | Test MAE: 1.9092
Iteração 2489: Adicionadas 5 amostras | Incerteza Média Batch: 0.6105 | Test R2: 0.5587 | Test MAE: 1.8926
Iteração 2490: Adicionadas 5 amostras | Incerteza Média Batch: 0.5947 | Test R2: 0.5723 | Test MAE: 1.8683
Iteração 2491: Adicionadas 5 amostras | Incerteza Média Batch: 0.6015 | Test R2: 0.5870 | Test MAE: 1.8451
Iteração 2492: Adicionadas 5 amostras | Incerteza Média Batch: 0.6107 | Test R2: 0.5983 | Test MAE: 1.8336
Iteração 2493: Adicionadas 5 amostras | Incerteza Média Batch: 0.6276 | Test R2: 0.6071 | Test MAE: 1.8318
Iteração 2494: Adicionadas 5 amostras | Incerteza Média Batch: 0.6449 | Test R2: 0.6103 | Test MAE: 1.8474
Iteração 2495: Adicionadas 5 amostras | Incerteza Média Batch: 0.6711 | Test R2: 0.6066 | Test MAE: 1.8828
Iteração 2496: Adicionadas 5 amostras | Incerteza Média Batch: 0.6715 | Test R2: 0.5978 | Test MAE: 1.9280
Iteração 2497: Adicionadas 5 amostras | Incerteza Média Batch: 0.6568 | Test R2: 0.5844 | Test MAE: 1.9826
Iteração 2498: Adicionadas 5 amostras | Incerteza Média Batch: 0.6479 | Test R2: 0.5627 | Test MAE: 2.0587
Iteração 2499: Adicionadas 5 amostras | Incerteza Média Batch: 0.6428 | Test R2: 0.5383 | Test MAE: 2.1363
Iteração 2500: Adicionadas 5 amostras | Incerteza Média Batch: 0.6539 | Test R2: 0.5125 | Test MAE: 2.2142
Iteração 2501: Adicionadas 5 amostras | Incerteza Média Batch: 0.6707 | Test R2: 0.4894 | Test MAE: 2.2830
Iteração 2502: Adicionadas 5 amostras | Incerteza Média Batch: 0.7019 | Test R2: 0.4733 | Test MAE: 2.3319
Iteração 2503: Adicionadas 5 amostras | Incerteza Média Batch: 0.7402 | Test R2: 0.4645 | Test MAE: 2.3582
Iteração 2504: Adicionadas 5 amostras | Incerteza Média Batch: 0.7862 | Test R2: 0.4687 | Test MAE: 2.3436
Iteração 2505: Adicionadas 5 amostras | Incerteza Média Batch: 0.8421 | Test R2: 0.4809 | Test MAE: 2.3010
Iteração 2506: Adicionadas 5 amostras | Incerteza Média Batch: 0.8769 | Test R2: 0.4969 | Test MAE: 2.2398
Iteração 2507: Adicionadas 5 amostras | Incerteza Média Batch: 0.8884 | Test R2: 0.5130 | Test MAE: 2.1695
Iteração 2508: Adicionadas 5 amostras | Incerteza Média Batch: 0.9108 | Test R2: 0.5202 | Test MAE: 2.1203
Iteração 2509: Adicionadas 5 amostras | Incerteza Média Batch: 0.8863 | Test R2: 0.5146 | Test MAE: 2.1125
Iteração 2510: Adicionadas 5 amostras | Incerteza Média Batch: 0.8293 | Test R2: 0.5151 | Test MAE: 2.0902
Iteração 2511: Adicionadas 5 amostras | Incerteza Média Batch: 0.7721 | Test R2: 0.5191 | Test MAE: 2.0585
Iteração 2512: Adicionadas 5 amostras | Incerteza Média Batch: 0.7582 | Test R2: 0.5214 | Test MAE: 2.0393
Iteração 2513: Adicionadas 5 amostras | Incerteza Média Batch: 0.7659 | Test R2: 0.5262 | Test MAE: 2.0210
Iteração 2514: Adicionadas 5 amostras | Incerteza Média Batch: 0.7692 | Test R2: 0.5375 | Test MAE: 1.9947
Iteração 2515: Adicionadas 5 amostras | Incerteza Média Batch: 0.8033 | Test R2: 0.5502 | Test MAE: 1.9729
Iteração 2516: Adicionadas 5 amostras | Incerteza Média Batch: 0.8735 | Test R2: 0.5599 | Test MAE: 1.9673
Iteração 2517: Adicionadas 5 amostras | Incerteza Média Batch: 0.9383 | Test R2: 0.5592 | Test MAE: 1.9975
Iteração 2518: Adicionadas 5 amostras | Incerteza Média Batch: 0.9688 | Test R2: 0.5432 | Test MAE: 2.0761
Iteração 2519: Adicionadas 5 amostras | Incerteza Média Batch: 0.9099 | Test R2: 0.5121 | Test MAE: 2.1939
Iteração 2520: Adicionadas 5 amostras | Incerteza Média Batch: 0.8772 | Test R2: 0.4742 | Test MAE: 2.3214
Iteração 2521: Adicionadas 5 amostras | Incerteza Média Batch: 0.7914 | Test R2: 0.4344 | Test MAE: 2.4418
Iteração 2522: Adicionadas 5 amostras | Incerteza Média Batch: 0.7261 | Test R2: 0.3929 | Test MAE: 2.5575
